tailnum,model,seats
N397AA,FALCON XP,2
N397DA,737-832,189
N397SW,737-3H4,149
N398AA,60,11
N398CA,CL-600-2C10,80
N398DA,737-832,189
N398SW,737-3H4,149
N399DA,737-832,189
N399WN,737-3H4,149
N400WN,737-7H4,140
N401UA,A320-232,200
N401WN,737-7H4,140
N402AS,737-990ER,222
N402UA,A320-232,200
N402WN,737-7H4,140
N403AS,737-990ER,222
N403UA,A320-232,200
N403WN,737-7H4,140
N404UA,A320-232,200
N404WN,737-7H4,140
N405UA,A320-232,200
N405WN,737-7H4,140
N406UA,A320-232,200
N406US,737-401,149
N406WN,737-7H4,140
N407AS,737-990ER,222
N407UA,A320-232,200
N407WN,737-7H4,140
N408AS,737-990ER,222
N408UA,A320-232,200
N408WN,737-7H4,140
N409AS,737-990ER,222
N409UA,A320-232,200
N409US,737-401,149
N409WN,737-7H4,140
N410UA,A320-232,200
N410WN,737-7H4,140
N41104,EMB-145XR,55
N41135,757-224,178
N41140,757-224,178
N411UA,A320-232,200
N411WN,737-7H4,140
N412UA,A320-232,200
N412WN,737-7H4,140
N413AS,737-990ER,222
N413UA,A320-232,200
N413WN,737-7H4,140
N414UA,A320-232,200
N414WN,737-7H4,140
N415UA,A320-232,200
N415WN,737-7H4,140
N416UA,A320-232,200
N416WN,737-7H4,140
N417UA,A320-232,200
N417WN,737-7H4,140
N418UA,A320-232,200
N418WN,737-7H4,140
N419AS,737-990ER,222
N419UA,A320-232,200
N419US,737-401,149
N419WN,737-7H4,140
N420UA,A320-232,200
N420US,737-401,149
N420WN,737-7H4,140
N421LV,737-7H4,140
N421UA,A320-232,200
N422UA,A320-232,200
N422WN,737-7H4,140
N423AS,737-990ER,222
N423UA,A320-232,200
N423WN,737-7H4,140
N424AA,DC-9-82(MD-82),172
N424UA,A320-232,200
N424WN,737-7H4,140
N425AA,PA-28-180,4
N425LV,737-7H4,140
N425UA,A320-232,200
N426AA,DC-9-82(MD-82),172
N426UA,A320-232,200
N426WN,737-7H4,140
N427SW,CL-600-2B19,55
N427UA,A320-232,200
N427US,737-4B7,149
N427WN,737-7H4,140
N428UA,A320-232,200
N428WN,737-7H4,140
N429UA,A320-232,200
N429WN,737-7H4,140
N430UA,A320-232,200
N430US,737-4B7,149
N430WN,737-7H4,140
N431AS,737-990ER,222
N431UA,A320-232,200
N431WN,737-7H4,140
N432UA,A320-232,200
N432US,737-4B7,149
N432WN,737-7H4,140
N433AA,DC-9-83(MD-83),172
N433AS,737-990ER,222
N433LV,737-7H4,140
N433UA,A320-232,200
N433US,737-4B7,149
N434AA,DC-9-83(MD-83),172
N434UA,A320-232,200
N434US,737-4B7,149
N434WN,737-7H4,140
N435AA,DC-9-83(MD-83),172
N435AS,737-990ER,222
N435UA,A320-232,200
N435US,737-4B7,149
N435WN,737-7H4,140
N436AA,DC-9-83(MD-83),172
N436UA,A320-232,200
N436WN,737-7H4,140
N437AA,DC-9-83(MD-83),172
N437UA,A320-232,200
N437WN,737-7H4,140
N438AA,DC-9-83(MD-83),172
N438UA,A320-232,200
N438US,737-4B7,149
N438WN,737-7H4,140
N439AA,DC-9-83(MD-83),172
N439UA,A320-232,200
N439US,737-4B7,149
N439WN,737-7H4,140
N440AS,737-990ER,222
N440LV,737-7H4,140
N440UA,A320-232,200
N440US,737-4B7,149
N441UA,A320-232,200
N441US,737-4B7,149
N441WN,737-7H4,140
N442AS,737-990ER,222
N442UA,A320-232,200
N442WN,737-7H4,140
N443UA,A320-232,200
N443US,737-4B7,149
N443WN,737-7H4,140
N444UA,A320-232,200
N444US,737-4B7,149
N444WN,737-7H4,140
N445UA,A320-232,200
N445WN,737-7H4,140
N446UA,A320-232,200
N446WN,737-7H4,140
N447UA,A320-232,200
N447WN,737-7H4,140
N448UA,A320-232,200
N448WN,737-7H4,140
N449UA,A320-232,200
N449US,737-4B7,149
N449WN,737-7H4,140
N450UW,737-4B7,149
N450WN,737-7H4,140
N451UA,A320-232,200
N451WN,737-7H4,140
N452UA,A320-232,200
N452UW,737-4B7,149
N452WN,737-7H4,140
N453UA,A320-232,200
N453UW,737-4B7,149
N453WN,737-7H4,140
N45440,737-924ER,191
N454AA,DC-9-82(MD-82),172
N454UA,A320-232,200
N454WN,737-7H4,140
N455AA,DC-9-82(MD-82),172
N455UA,A320-232,200
N455UW,737-4B7,149
N455WN,737-7H4,140
N456AA,DC-9-82(MD-82),172
N456UA,A320-232,200
N456WN,737-7H4,140
N457UA,A320-232,200
N457WN,737-7H4,140
N458UA,A320-232,200
N458WN,737-7H4,140
N45905,787-8,260
N459UA,A320-232,200
N459WN,737-7H4,140
N460UA,A320-232,200
N460UW,737-4B7,149
N460WN,737-7H4,140
N461UA,A320-232,200
N461WN,737-7H4,140
N462UA,A320-232,200
N462WN,737-7H4,140
N463UA,A320-232,200
N463WN,737-7H4,140
N464UA,A320-232,200
N464WN,737-7H4,140
N465UA,A320-232,200
N465WN,737-7H4,140
N466AA,DC-9-82(MD-82),172
N466UA,A320-232,200
N466WN,737-7H4,140
N467AA,DC-9-82(MD-82),172
N467UA,A320-232,200
N467WN,737-7H4,140
N468AA,DC-9-82(MD-82),172
N468UA,A320-232,200
N468WN,737-7H4,140
N469AA,DC-9-82(MD-82),172
N469UA,A320-232,200
N469WN,737-7H4,140
N470AA,DC-9-82(MD-82),172
N470UA,A320-232,200
N470WN,737-7H4,140
N471AA,DC-9-82(MD-82),172
N471UA,A320-232,200
N472AA,DC-9-82(MD-82),172
N472UA,A320-232,200
N472WN,737-7H4,140
N473AA,DC-9-82(MD-82),172
N473UA,A320-232,200
N473WN,737-7H4,140
N47414,737-924ER,191
N474UA,A320-232,200
N474WN,737-7H4,140
N475AA,DC-9-82(MD-82),172
N475UA,A320-232,200
N475WN,737-7H4,140
N476AA,DC-9-82(MD-82),172
N476UA,A320-232,200
N476WN,737-7H4,140
N477AA,DC-9-82(MD-82),172
N477UA,A320-232,200
N477WN,737-7H4,140
N478AA,DC-9-82(MD-82),172
N478UA,A320-232,200
N478WN,737-7H4,140
N479AA,DC-9-82(MD-82),172
N479UA,A320-232,200
N479WN,737-7H4,140
N480AA,DC-9-82(MD-82),172
N480UA,A320-232,200
N480WN,737-7H4,140
N48127,757-224,178
N481AA,DC-9-82(MD-82),172
N481UA,A320-232,200
N481WN,737-7H4,140
N482AA,DC-9-82(MD-82),172
N482UA,A320-232,200
N482WN,737-7H4,140
N483UA,A320-232,200
N483WN,737-7H4,140
N484AA,DC-9-82(MD-82),172
N484UA,A320-232,200
N484WN,737-7H4,140
N485AA,DC-9-82(MD-82),172
N485UA,A320-232,200
N485WN,737-7H4,140
N486AA,DC-9-82(MD-82),172
N486UA,A320-232,200
N486WN,737-7H4,140
N487AA,DC-9-82(MD-82),172
N487UA,A320-232,200
N487WN,737-7H4,140
N488AA,DC-9-82(MD-82),172
N488UA,A320-232,200
N488WN,737-7H4,140
N48901,EMB-145LR,55
N489AA,DC-9-82(MD-82),172
N489UA,A320-232,200
N489WN,737-7H4,140
N490AA,DC-9-82(MD-82),172
N490UA,A320-232,200
N490WN,737-7H4,140
N491AA,DC-9-82(MD-82),172
N491UA,A320-232,200
N491WN,737-7H4,140
N492AA,DC-9-82(MD-82),172
N492UA,A320-232,200
N492WN,737-7H4,140
N493AA,DC-9-82(MD-82),172
N493UA,A320-232,200
N493WN,737-7H4,140
N494AA,DC-9-82(MD-82),172
N494UA,A320-232,200
N494WN,737-7H4,140
N495UA,A320-232,200
N495WN,737-7H4,140
N496AA,DC-9-82(MD-82),172
N496UA,A320-232,200
N496WN,737-7H4,140
N497UA,A320-232,200
N497WN,737-7H4,140
N498UA,A320-232,200
N498WN,737-7H4,140
N499AA,DC-9-82(MD-82),172
N499WN,737-7H4,140
N501AA,DC-9-82(MD-82),172
N501MJ,CL-600-2C10,80
N501US,757-251,178
N502MJ,CL-600-2C10,80
N502UA,757-222,178
N503JB,A320-232,200
N503MJ,CL-600-2C10,80
N503UA,757-222,178
N503US,757-251,178
N504JB,A320-232,200
N504MJ,CL-600-2C10,80
N504UA,757-222,178
N505AA,DC-9-82(MD-82),172
N505JB,A320-232,200
N505MJ,CL-600-2C10,80
N505SW,737-5H4,149
N505UA,757-222,178
N506AS,737-890,149
N506JB,A320-232,200
N506MJ,CL-600-2C10,80
N507AY,A321-231,379
N507MJ,CL-600-2C10,80
N507US,757-251,178
N508AA,206B,5
N508AS,737-890,149
N508AY,A321-231,379
N508JB,SR22,4
N508MJ,CL-600-2C10,80
N508SW,737-5H4,149
N508UA,757-222,178
N509AY,A321-231,379
N509JB,A320-232,200
N509MJ,CL-600-2C10,80
N509SW,737-5H4,149
N509UA,757-222,178
N510JB,A320-232,200
N510MJ,CL-600-2C10,80
N510SW,737-5H4,149
N510UA,757-222,178
N510UW,A321-231,379
N511MJ,CL-600-2C10,80
N511SW,737-5H4,149
N511UA,757-222,178
N512AS,737-890,149
N512MJ,CL-600-2C10,80
N512SW,737-5H4,149
N512UA,757-222,178
N513AA,DC-9-82(MD-82),172
N513AS,737-890,149
N513MJ,CL-600-2C10,80
N513UA,757-222,178
N514AS,737-890,149
N514MJ,CL-600-2C10,80
N514SW,737-5H4,149
N514UA,757-222,178
N515MJ,CL-600-2C10,80
N515SW,737-5H4,149
N515UA,757-222,178
N516AS,737-890,149
N516JB,A320-232,200
N516LR,CL-600-2C10,80
N516UA,757-222,178
N517AA,FALCON-XP,2
N517AS,737-890,149
N517JB,A320-232,200
N517UA,757-222,178
N518AS,737-890,149
N518LR,CL-600-2C10,80
N518UA,757-222,178
N519AA,550,8
N519AS,737-890,149
N519JB,A320-232,200
N519LR,CL-600-2C10,80
N519MQ,A185F,6
N519UA,757-222,178
N519US,757-251,178
N519UW,A321-231,379
N520AA,FALCON-XP,2
N520AS,737-890,149
N520JB,A320-232,200
N520UA,757-222,178
N520UW,A321-231,379
N521AA,FALCON-XP,2
N521JB,A320-232,200
N521LR,CL-600-2C10,80
N521SW,737-5H4,149
N521UA,757-222,178
N521US,757-251,178
N521UW,A321-231,379
N521VA,A319-115,147
N522LR,CL-600-2C10,80
N522SW,737-5H4,149
N522UA,757-222,178
N522US,757-251,178
N522VA,A319-115,147
N523AS,737-890,149
N523JB,A320-232,200
N523SW,737-5H4,149
N523UA,757-222,178
N523US,757-251,178
N523UW,A321-231,379
N523VA,A319-112,100
N524AS,737-890,149
N524JB,A320-232,200
N524SW,737-5H4,149
N524UA,757-222,178
N524UW,A321-231,379
N524VA,A319-112,100
N525AA,PA-31-350,8
N525AS,737-890,149
N525SW,737-5H4,149
N525US,757-251,178
N525VA,A319-112,100
N526AS,737-890,149
N526SW,737-5H4,149
N526UA,757-222,178
N526VA,A319-112,100
N527AS,737-890,149
N527SW,737-5H4,149
N527VA,A319-112,100
N528AA,FALCON XP,2
N528AS,737-890,149
N528UA,757-222,178
N528VA,A319-112,100
N529AS,737-890,149
N529JB,A320-232,200
N529UA,757-222,178
N529VA,A319-112,100
N530AS,737-890,149
N530UA,757-222,178
N530US,757-251,178
N530VA,A319-115,147
N531AS,737-890,149
N531JB,ZODIAC 601HDS,2
N531US,757-251,178
N532AS,737-890,149
N532US,757-251,178
N533AS,737-890,149
N533UA,757-222,178
N533US,757-251,178
N53441,737-924ER,191
N53442,737-924ER,191
N534AS,737-890,149
N534JB,A320-232,200
N534UA,757-222,178
N534US,757-251,178
N534UW,A321-231,379
N535AS,737-890,149
N535JB,A320-232,200
N535UA,757-222,178
N535UW,A321-231,379
N536AA,FALCON XP,2
N536AS,737-890,149
N536JB,A320-232,200
N536UA,757-222,178
N536UW,A321-231,379
N537AS,737-890,149
N537JB,R66,5
N537UA,757-222,178
N537UW,A321-231,379
N538AS,737-890,149
N538CA,CL-600-2D24,95
N538UA,757-222,178
N538UW,A321-231,379
N539UA,757-222,178
N539US,757-251,178
N539UW,A321-231,379
N540AA,FALCON XP,2
N540US,757-251,178
N540UW,A321-231,379
N541UA,757-222,178
N541US,757-251,178
N541UW,A321-231,379
N54241,737-824,149
N542US,757-251,178
N542UW,A321-231,379
N543UA,757-222,178
N543US,757-251,178
N543UW,A321-231,379
N544AA,VANS AIRCRAFT RV6,2
N544UA,757-222,178
N544UW,A321-231,379
N545AA,PA-32R-300,7
N545UA,757-222,178
N545UW,A321-231,379
N546AS,737-890,149
N546UA,757-222,178
N546UW,A321-231,379
N54711,737-724,149
N547JB,A320-232,200
N547UA,757-222,178
N547US,757-251,178
N547UW,A321-231,379
N548AS,737-890,149
N548UA,757-222,178
N548US,757-251,178
N548UW,A321-231,379
N549AS,737-8FH,149
N549UA,757-222,178
N549US,757-251,178
N549UW,A321-231,379
N550NW,757-251,178
N550UA,757-222,178
N550UW,A321-231,379
N550WN,737-76Q,149
N551AA,FALCON XP,2
N551AS,737-890,149
N551NW,757-251,178
N551UA,757-222,178
N551UW,A321-231,379
N551WN,737-76Q,149
N552AA,DC-9-82(MD-82),172
N552AS,737-890,149
N552JB,A320-232,200
N552NW,757-251,178
N552UA,757-222,178
N552UW,A321-231,379
N552WN,737-7BX,149
N553AA,DC-9-82(MD-82),172
N553AS,737-890,149
N553NW,757-251,178
N553UA,757-222,178
N553UW,A321-231,379
N553WN,737-7BX,149
N554AA,DC-9-82(MD-82),172
N554JB,A320-232,200
N554NW,757-251,178
N554UA,757-222,178
N554UW,A321-231,379
N554WN,737-7BX,149
N555AY,A321-231,379
N555LV,737-7BD,149
N555NW,757-251,178
N555UA,757-222,178
N556AA,DC-9-82(MD-82),172
N556AS,737-890,149
N556JB,A320-232,200
N556NW,757-251,178
N556UA,757-222,178
N556UW,A321-231,379
N556WN,737-7BD,149
N557AA,KITFOX IV,2
N557AS,737-890,149
N557NW,757-251,178
N557UA,757-222,178
N557UW,A321-231,379
N558AA,DC-9-82(MD-82),172
N558AS,737-890,149
N558JB,A320-232,200
N558UA,757-222,178
N558UW,A321-231,379
N559AA,DC-9-82(MD-82),172
N559AS,737-890,149
N559JB,A320-232,200
N559UA,757-222,178
N559UW,A321-231,379
N560AA,DC-9-82(MD-82),172
N560AS,737-890,149
N560UA,757-222,178
N560UW,A321-231,379
N561AA,DC-9-82(MD-82),172
N561JB,A320-232,200
N561UA,757-222,178
N561UW,A321-231,379
N562AS,737-890,149
N562JB,A320-232,200
N562UA,757-222,178
N562UW,A321-231,379
N563AS,737-890,149
N563JB,A320-232,200
N563UA,757-222,178
N563UW,A321-231,379
N564AA,DC-9-83(MD-83),172
N564AS,737-890,149
N564JB,A320-232,200
N564UA,757-222,178
N564UW,A321-231,379
N565AA,DC-9-83(MD-83),172
N565AS,737-890,149
N565JB,A320-232,200
N565UA,757-222,178
N565UW,A321-231,379
N566AA,DC-9-83(MD-83),172
N566AS,737-890,149
N566JB,A320-232,200
N566UA,757-222,178
N566UW,A321-231,379
N567AA,OTTER DHC-3,16
N567UA,757-222,178
N567UW,A321-231,379
N56859,757-324,275
N568AA,DC-9-83(MD-83),172
N568AS,737-890,149
N568JB,A320-232,200
N568UA,757-222,178
N568UW,A321-231,379
N569AA,DC-9-83(MD-83),172
N569AS,737-890,149
N569JB,A320-232,200
N569UA,757-222,178
N569UW,A321-231,379
N57016,777-224,400
N570AA,DC-9-83(MD-83),172
N570AS,737-890,149
N570JB,A320-232,200
N570UA,757-222,178
N570UW,A321-231,379
N57111,757-224,178
N571AA,DC-9-83(MD-83),172
N571JB,A320-232,200
N571UA,757-222,178
N571UW,A321-231,379
N572UW,A321-231,379
N573AA,DC-9-82(MD-82),172
N573UA,757-222,178
N57439,737-924ER,191
N574AA,DC-9-82(MD-82),172
N574UA,757-222,178
N575AA,210-5(205),6
N575UA,757-222,178
N576AA,DC-9-82(MD-82),172
N576UA,757-222,178
N577AS,737-890,149
N577UA,757-222,178
N57852,757-324,275
N57855,757-324,275
N57857,757-324,275
N57862,757-33N,275
N57863,757-33N,275
N57864,757-33N,275
N57868,757-33N,275
N57869,757-33N,275
N57870,757-33N,275
N578AA,DC-9-82(MD-82),172
N578UA,757-222,178
N579AS,737-890,149
N579JB,A320-232,200
N579UA,757-222,178
N580JB,A320-232,200
N580UA,757-222,178
N58101,757-224,178
N581AA,DC-9-82(MD-82),172
N581AS,737-890,149
N582AA,DC-9-82(MD-82),172
N582CA,CL-600-2D24,95
N583AA,DC-9-82(MD-82),172
N583AS,737-890,149
N583JB,A320-232,200
N584AA,DC-9-82(MD-82),172
N584AS,737-890,149
N584JB,A320-232,200
N585AA,DC-9-82(MD-82),172
N585AS,737-890,149
N585JB,A320-232,200
N585UA,757-222,178
N586AA,DC-9-82(MD-82),172
N586AS,737-890,149
N586JB,A320-232,200
N587AA,DC-9-82(MD-82),172
N587AS,737-890,149
N587JB,A320-232,200
N587NW,757-351,275
N587UA,757-222,178
N588JB,A320-232,200
N588UA,757-222,178
N589AA,DC-9-83(MD-83),172
N589AS,737-890,149
N589JB,A320-232,200
N589UA,757-222,178
N59053,767-424ER,292
N590AA,DC-9-83(MD-83),172
N590AS,737-890,149
N590JB,A320-232,200
N590NW,757-351,275
N590UA,757-222,178
N591AA,DC-9-83(MD-83),172
N591JB,A320-232,200
N592AA,DC-9-83(MD-83),172
N592AS,737-890,149
N592JB,A320-232,200
N593AA,DC-9-83(MD-83),172
N593AS,737-890,149
N593JB,A320-232,200
N594AA,DC-9-83(MD-83),172
N594AS,737-890,149
N594JB,A320-232,200
N594NW,757-351,275
N594UA,757-222,178
N595AA,DC-9-83(MD-83),172
N595JB,A320-232,200
N595NW,757-351,275
N595UA,757-222,178
N596AA,DC-9-83(MD-83),172
N596AS,737-890,149
N596UA,757-222,178
N597AA,DC-9-83(MD-83),172
N597AS,737-890,149
N597JB,A320-232,200
N597UA,757-222,178
N598AA,DC-9-83(MD-83),172
N598JB,A320-232,200
N598UA,757-222,178
N599AA,DC-9-83(MD-83),172
N599JB,A320-232,200
N600LR,CL-600-2D24,95
N600QX,CL-600-2C10,80
N600TR,DC-9-51,139
N600WN,737-3H4,149
N601AW,A320-232,200
N601LR,CL-600-2D24,95
N601WN,737-3H4,149
N601XJ,CL-600-2B19,55
N602AW,A320-232,200
N602DL,757-232,178
N602LR,CL-600-2D24,95
N602SW,737-3H4,149
N602XJ,CL-600-2B19,55
N603AT,717-200,100
N603DL,757-232,178
N603JB,A320-232,200
N603SW,737-3H4,149
N604AW,A320-232,200
N604DL,757-232,178
N604LR,CL-600-2D24,95
N604QX,CL-600-2C10,80
N604SW,737-3H4,149
N605JB,A320-232,200
N605LR,CL-600-2D24,95
N605QX,CL-600-2C10,80
N605SW,737-3H4,149
N606JB,A320-232,200
N606LR,CL-600-2D24,95
N606SW,737-3H4,149
N607AT,717-200,100
N607JB,A320-232,200
N607LR,CL-600-2D24,95
N607SW,737-3H4,149
N608AT,717-200,100
N608DA,757-232,178
N608JB,A320-232,200
N608QX,CL-600-2C10,80
N608SW,737-3H4,149
N609DL,757-232,178
N609SW,737-3H4,149
N610DL,757-232,178
N610WN,737-3H4,149
N611QX,CL-600-2C10,80
N611SW,737-3H4,149
N612AA,757-223,178
N612DL,757-232,178
N612JB,A320-232,200
N612QX,CL-600-2C10,80
N612SW,737-3H4,149
N613AA,757-223,178
N613DL,757-232,178
N613JB,A320-232,200
N613SW,737-3H4,149
N614DL,757-232,178
N614QX,CL-600-2C10,80
N614SW,737-3H4,149
N615AA,65-A90,9
N615DL,757-232,178
N615JB,A320-232,200
N615QX,CL-600-2C10,80
N615SW,737-3H4,149
N616DL,757-232,178
N616SW,737-3H4,149
N617DL,757-232,178
N617SW,737-3H4,149
N618AA,757-223,178
N618DL,757-232,178
N618JB,A320-232,200
N618WN,737-3H4,149
N619AA,757-223,178
N619SW,737-3H4,149
N620SW,737-3H4,149
N621AA,172M,4
N621JB,A320-232,200
N621SW,737-3H4,149
N621VA,A320-214,182
N622AA,757-223,178
N622AW,A320-231,182
N622SW,737-3H4,149
N622VA,A320-214,182
N623AA,757-223,178
N623DL,757-232,178
N623JB,A320-232,200
N623SW,737-3H4,149
N623VA,A320-214,182
N624AA,757-223,178
N624AG,757-2Q8,178
N624AW,A320-231,182
N624JB,A320-232,200
N624SW,737-3H4,149
N624VA,A320-214,182
N625AA,757-223,178
N625AW,A320-231,182
N625JB,A320-232,200
N625SW,737-3H4,149
N625VA,A320-214,182
N626AW,A320-231,182
N626SW,737-3H4,149
N626VA,A320-214,182
N627AW,A320-231,182
N627DL,757-232,178
N627JB,A320-232,200
N627SW,737-3H4,149
N627VA,A320-214,182
N628AA,757-223,178
N628SW,737-3H4,149
N628VA,A320-214,182
N629JB,A320-232,200
N629SW,737-3H4,149
N629VA,A320-214,182
N630AA,757-223,178
N630JB,A320-232,200
N630VA,A320-214,182
N630WN,737-3H4,149
N631AA,757-223,178
N631AW,A320-231,182
N631VA,A320-214,182
N632AW,A320-231,182
N632JB,A320-232,200
N632SW,737-3H4,149
N632VA,A320-214,182
N633AA,757-223,178
N633AW,A320-231,182
N633DL,757-232,178
N633JB,A320-232,200
N633SW,737-3H4,149
N633VA,A320-214,182
N634AA,757-223,178
N634JB,A320-232,200
N634SW,737-3H4,149
N634VA,A320-214,182
N635AA,757-223,178
N635DL,757-232,178
N635JB,A320-232,200
N635SW,737-3H4,149
N635VA,A320-214,182
N636DL,757-232,178
N636JB,A320-232,200
N636VA,A320-214,182
N636WN,737-3H4,149
N637DL,757-232,178
N637JB,A320-232,200
N637SW,737-3H4,149
N637VA,A320-214,182
N638DL,757-232,178
N638JB,A320-232,200
N638SW,737-3H4,149
N638VA,A320-214,182
N639AA,757-223,178
N639DL,757-232,178
N639JB,A320-232,200
N639SW,737-3H4,149
N639VA,A320-214,182
N640AW,A320-232,200
N640DL,757-232,178
N640JB,A320-232,200
N640SW,737-3H4,149
N640VA,A320-214,182
N641DL,757-232,178
N641JB,A320-232,200
N641SW,737-3H4,149
N641UA,767-322,330
N641VA,A320-214,182
N642AA,757-223,178
N642AW,A320-232,200
N642DL,757-232,178
N642VA,A320-214,182
N642WN,737-3H4,149
N643DL,757-232,178
N643JB,A320-232,200
N643SW,737-3H4,149
N644DL,757-232,178
N644JB,A320-232,200
N644SW,737-3H4,149
N644UA,767-322,330
N645DL,757-232,178
N645JB,A320-232,200
N645SW,737-3H4,149
N646DL,757-232,178
N646JB,A320-232,200
N646SW,737-3H4,149
N646UA,767-322,330
N647AW,A320-232,200
N647DL,757-232,178
N647SW,737-3H4,149
N647UA,767-322,330
N64809,737-924ER,191
N648AW,A320-232,200
N648DL,757-232,178
N648JB,A320-232,200
N648SW,737-3H4,149
N648UA,767-322,330
N649AW,A320-232,200
N649DL,757-232,178
N649JB,A320-232,200
N649SW,737-3H4,149
N649UA,767-322,330
N650AW,A320-232,200
N650DL,757-232,178
N650SW,737-3H4,149
N651AW,A320-232,200
N651DL,757-232,178
N651JB,A320-232,200
N651SW,737-3H4,149
N651UA,767-322,330
N652AW,A320-232,200
N652DL,757-232,178
N652JB,A320-232,200
N652SW,737-3H4,149
N652UA,767-322,330
N653AW,A320-232,200
N653JB,A320-232,200
N653SW,737-3H4,149
N653UA,767-322,330
N654AW,A320-232,200
N654DL,757-232,178
N654SW,737-3H4,149
N654UA,767-322,330
N655AW,A320-232,200
N655DL,757-232,178
N655JB,A320-232,200
N655UA,767-322,330
N655WN,737-3H4,149
N656AW,A320-232,200
N656JB,A320-232,200
N656SW,737-3H4,149
N656UA,767-322,330
N657AW,A320-232,200
N657JB,A320-232,200
N657SW,737-3L9,149
N657UA,767-322,330
N658AW,A320-232,200
N658DL,757-232,178
N658JB,A320-232,200
N658SW,737-3L9,149
N658UA,767-322,330
N659AW,A320-232,200
N659DL,757-232,178
N659JB,A320-232,200
N659SW,737-301,149
N659UA,767-322,330
N66051,767-424ER,292
N66056,767-424ER,292
N66057,767-424ER,292
N660AW,A320-232,200
N660DL,757-232,178
N660SW,737-301,149
N660UA,767-322,330
N661AW,A320-232,200
N661DN,757-232,178
N661JB,A320-232,200
N661UA,767-322,330
N662AW,A320-232,200
N662DN,757-232,178
N662JB,A320-232,200
N662SW,737-3Q8,149
N663AW,A320-232,200
N663DN,757-232,178
N663JB,A320-232,200
N663SW,737-3Q8,149
N663UA,767-322,330
N664AW,A320-232,200
N664DN,757-232,178
N664UA,767-322,330
N665AW,A320-232,200
N665DN,757-232,178
N665JB,A320-232,200
N665UA,767-322,330
N665WN,737-3Y0,149
N666DN,757-232,178
N666UA,767-322,330
N667AW,A320-232,200
N667DN,757-232,178
N667UA,767-322,330
N66803,737-924ER,191
N66808,737-924ER,191
N668AW,A320-232,200
N668DN,757-232,178
N668UA,767-322,330
N669AW,A320-232,200
N669DN,757-232,178
N669SW,737-3A4,149
N669UA,767-322,330
N6700 ,757-232,178
N6701 ,757-232,178
N6702 ,757-232,178
N6703D,757-232,178
N6704Z,757-232,178
N67052,767-424ER,292
N67058,767-424ER,292
N6705Y,757-232,178
N6706Q,757-232,178
N6707A,757-232,178
N6708D,757-232,178
N6709 ,757-232,178
N670DN,757-232,178
N670SW,737-3G7,149
N670UA,767-322,330
N670US,747-451,450
N6710E,757-232,178
N6711M,757-232,178
N6712B,757-232,178
N67134,757-224,178
N6713Y,757-232,178
N6714Q,757-232,178
N6715C,757-232,178
N6716C,757-232,178
N67171,757-232,178
N671DN,757-232,178
N671UA,767-322,330
N672AW,A320-232,200
N672DL,757-232,178
N672UA,767-322,330
N673AW,A320-232,200
N673DL,757-232,178
N673UA,767-322,330
N674DL,757-232,178
N674UA,767-322,330
N675AW,A320-232,200
N675DL,757-232,178
N675MC,DC-9-51,139
N675UA,767-322,330
N676AW,A320-232,200
N676CA,CL-600-2D24,95
N676DL,757-232,178
N676UA,767-322,330
N677AW,A320-232,200
N677UA,767-322,330
N678AW,A320-232,200
N678CA,CL-600-2D24,95
N678DL,757-232,178
N679AW,A320-232,200
N679DA,757-232,178
N68061,767-424ER,292
N680AW,A320-232,200
N680DA,757-232,178
N68159,767-224,255
N68160,767-224,255
N681DA,757-232,178
N682DA,757-232,178
N683BR,CL-600-2B19,55
N683DA,757-232,178
N68452,737-924ER,191
N68453,737-924ER,191
N684DA,757-232,178
N684WN,737-3TO,149
N685DA,757-232,178
N685SW,737-3Q8,149
N686DA,757-232,178
N687DL,757-232,178
N687SW,737-3Q8,149
N68801,737-924ER,191
N68802,737-924ER,191
N68805,737-924ER,191
N68807,737-924ER,191
N688DL,757-232,178
N689DL,757-232,178
N69059,767-424ER,292
N69063,767-424ER,292
N690DL,757-232,178
N691CA,CL-600-2D24,95
N691WN,737-3G7,149
N692DL,757-232,178
N693CA,CL-600-2D24,95
N693DL,757-232,178
N693SW,737-317,149
N694DL,757-232,178
N694SW,737-3T5,149
N695CA,CL-600-2D24,95
N695DL,757-232,178
N696DL,757-232,178
N697DL,757-232,178
N697SW,737-3TO,149
N69804,737-924ER,191
N69806,737-924ER,191
N698DL,757-232,178
N699DL,757-232,178
N700GS,737-7H4,140
N700UW,A319-112,179
N701GS,737-7H4,140
N701SK,CL-600-2C10,80
N701UW,A319-112,179
N702SK,CL-600-2C10,80
N702TW,757-2Q8,178
N702UW,A319-112,179
N703JB,A320-232,200
N703SW,737-7H4,140
N703TW,757-2Q8,178
N703UW,A319-112,179
N704SW,737-7H4,140
N704US,A319-112,179
N704X ,757-2Q8,178
N705JB,A320-232,200
N705SK,CL-600-2C10,80
N705SW,737-7H4,140
N705TW,757-231,178
N705UW,A319-112,179
N706JB,A320-232,200
N706SW,737-7H4,140
N706TW,757-2Q8,178
N707EV,CL-600-2C10,80
N707SA,737-7H4,140
N707TW,757-2Q8,178
N708EV,CL-600-2C10,80
N708JB,A320-232,200
N708SW,737-7H4,140
N708UW,A319-112,179
N709EV,CL-600-2C10,80
N709JB,A320-232,200
N709SW,737-7H4,140
N709TW,757-2Q8,178
N709UW,A319-112,179
